Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
Iran,128,8,120,0,COM,Iran Air Flight 291,Boeing 727-86
Iran,80,0,0,20,MIL,Iranian Air Force (5-8552),Lockheed C-130H Hercules
Iran,103,7,96,0,MIL,Iranian Air Force,Lockheed C-130 Hercules
Iran,290,16,274,0,EXG,Iran Air Flight 655,Airbus A300B2-203
Iran,133,14,119,0,MIL,Iran Air Tours Flight 962and Iranian Air Force Su-24,Tupolev Tu-154 and Sukhoi Su-24
Iran,66,7,59,0,COM,Iran Aseman Airlines Flight 746,Fokker F28 Fellowship 1000
Iran,88,8,80,0,MIL,Iranian Air Force,Lockheed C-130 Hercules
Iran,119,12,107,0,COM,Iran Air Tours Flight 956,Tupolev Tu-154M
Iran,275,18,257,0,MIL,Iranian Revolutionary Guard Corps Aerospace Force (15-2280),Ilyushin Il-76MD
Iran,106,10,84,12,MIL,Iranian Air Force (5-8519),Lockheed C-130E Hercules
Iran,168,12,156,0,COM,Caspian Airlines Flight 7908,Tupolev Tu-154M
Iran,77,8,69,0,COM,Iran Air Flight 277,Boeing 727-286Adv
Iran,66,6,60,0,COM,Iran Aseman Airlines Flight 3704,ATR 72-212
Iran,176,9,167,0,EXG,Ukraine International Airlines Flight 752,Boeing 737-800
Ireland,99,8,91,0,COM,KLM Flight 607E,Lockheed L-1049
Ireland,83,6,77,0,COM,President Airlines (N90773),Douglas DC-6B
Ireland,61,4,57,0,COM,Aer Lingus Flight 712,Vickers Viscount 803
Ireland,329,22,307,0,INB,Air India Flight 182,Boeing 747-237B
Israel,108,8,100,0,EXS,Libyan Arab Airlines Flight 114,Boeing 727-224
Israel,54,10,44,0,MIL,Israeli Air Force (960),Sikorsky CH-53 Sea Stallion
Israel,73,6,67,0,MIL,Israeli Air Force (357) and Israeli Air Force (903),Sikorsky S-65C-3 Yas'ur 2000 (both)
Italy,52,42,10,0,MIL,French airship Dixmude,Zeppelin-type rigid airship
Italy,68,9,59,0,COM,TWA Flight 891,Lockheed L-1649 Starliner
Italy,50,5,45,0,COM,TWA Flight 800,Boeing 707-331
Italy,50,6,44,0,MIL,Royal Air Force (XV216),Lockheed C-130K Hercules C.1P
Italy,115,7,108,0,COM,Alitalia Flight 112,McDonnell Douglas DC-8-43
Italy,108,5,103,0,COM,Alitalia Flight 4128,McDonnell Douglas DC-9-32
Italy,81,4,77,0,EXS,Itavia Flight 870,McDonnell Douglas DC-9-15
Italy,118,8,106,4,COM,SAS Flight 686 andPrivate aircraft (D-IEVX),McDonnell Douglas MD-87 and Cessna Citation CJ2
Japan,58,5,0,53,COM,Japan mid-air collision,Fokker Super Universal and Mitsubishi Ki1
Japan,129,7,122,0,MIL,US Air Force (51-0137),Douglas C-124A-DL Globemaster II
Japan,133,7,126,0,COM,All Nippon Airways Flight 60,Boeing 727-81
Japan,64,10,54,0,COM,Canadian Pacific Airlines Flight 402,Douglas DC-8-43
Japan,124,11,113,0,COM,BOAC Flight 911,Boeing 707-436
Japan,50,5,45,0,COM,All Nippon Airways Flight 533,NAMC YS-11
Japan,68,4,64,0,COM,Toa Domestic Airlines Flight 63,NAMC YS-11A-217
Japan,162,7,155,0,COM,All Nippon Airways Flight 58 andJASDF (92-7932),Boeing 727-200 and North American F-86 Sabre
Japan,520,15,505,0,COM,Japan Airlines Flight 123,Boeing 747SR-46
Japan,264,15,249,0,COM,China Airlines Flight 140,Airbus A300B4-622R
JavaSea,162,7,155,0,COM,Indonesia AirAsia Flight 8501,Airbus A320-216
KarawangRegency,189,8,181,0,COM,Lion Air Flight 610,Boeing 737 MAX 8
Kenya,59,4,55,0,COM,Lufthansa Flight 540,Boeing 747-130
Kenya,52,4,42,6,MIL,Kenya Air Force (214),de Havilland Canada DHC-5D Buffalo
Kyrgyzstan,65,0,65,0,COM,Iran Aseman Airlines/Itek Air Flight 6895,Boeing 737-219
Lebanon,60,10,50,0,COM,Malév Flight 240,Tupolev Tu-154B
Lebanon,90,8,82,0,COM,Ethiopian Airlines Flight 409,Boeing 737-8AS
Liberia,56,1,50,5,COM,Varig Flight 837,Douglas DC-8-33
Libya,59,0,59,0,COM,Libyan Arab Airlines (LZ-BTN),Tupolev Tu-154
Libya,79,3,72,4,COM,Korean Air Flight 803,McDonnell Douglas DC-10-30
Libya,157,10,147,0,COM,Libyan Arab Airlines Flight 1103 andLibyan Air Force,Boeing 727-2L5 and Mikoyan-Gurevich MiG-23
Libya,103,11,92,0,COM,Afriqiyah Airways Flight 771,Airbus A330-202
Madeira,131,6,125,0,COM,TAP Portugal Flight 425,Boeing 727-282Adv
Malaysia,100,7,93,0,INH,Malaysian Airline System Flight 653,Boeing 737-2H6
Mali,51,6,45,0,COM,Air Mali (TZ-ACT),Antonov An-24B
Mali,116,6,110,0,COM,Air Algérie Flight 5017,McDonnell Douglas MD-83
Malta,50,5,45,0,COM,Scottish Airlines (G-ANSY),Avro York
Malta,60,0,60,0,INH,EgyptAir Flight 648,Boeing 737-266
Massachusetts,217,15,202,0,COM,EgyptAir Flight 990,Boeing 767-366ER
Mauritania,80,4,76,0,COM,Air Mauritanie Flight 625,Fokker F28 Fellowship 4000
Mexico,79,7,72,0,COM,Mexicana Flight 704,Boeing 727-64
Mexico,73,9,63,1,COM,Western Airlines Flight 2605,McDonnell Douglas DC-10-10
Mexico,167,8,159,0,COM,Mexicana Flight 940,Boeing 727-264
Morocco,61,9,52,0,COM,Sabena (OO-SFA),Douglas DC-7C
Morocco,72,8,64,0,COM,ČSA Flight 511,Ilyushin Il-18V
Morocco,77,6,71,0,COM,Air France Flight 2005,Sud Aviation SE-210 Caravelle III
Morocco,50,5,45,0,COM,Iberia (EC-ATH),Convair CV-440-62
Morocco,61,5,56,0,COM,Royal Air Maroc (CN-CCV),Sud Aviation SE-210 Caravelle III
Morocco,106,7,99,0,COM,Royal Air Maroc Caravelle (OO-SRD),Sud Aviation SE-210 Caravelle VIN
Morocco,188,7,181,0,COM,Alia Royal Jordanian (JY-AEE),Boeing 707-321C
Morocco,80,9,71,0,MIL,Moroccan Air Force (CAN-OQ),Lockheed C-130 Hercules
